text,full_text,reply_count,retweet_count,favorite_count,source,created_at,entities,quote_count,quoted_status,id
"بس بهالكم يوم:
#رياض_سلامة رفض الكابيتال كونترول بالعلن بس ما ألزم المصارف
رياض سلامة ترك قطاع الصرافين بلا رقيب او حسيب
رياض سلامة يعرقل عمل وزاره الطاقة بعرقلة اصدار الاعتمادات المالية...
#يسقط_حكم_المصرف
وكل فاسد وراه
#لبنان__ينتفض","بس بهالكم يوم:
#رياض_سلامة رفض الكابيتال كونترول بالعلن بس ما ألزم المصارف
رياض سلامة ترك قطاع الصرافين بلا رقيب او حسيب
رياض سلامة يعرقل عمل وزاره الطاقة بعرقلة اصدار الاعتمادات المالية...
#يسقط_حكم_المصرف
وكل فاسد وراه
#لبنان__ينتفض",,2,9,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sat Nov 30 05:44:53 +0000 2019,{},,,1200651894194147328
"وطني أنقذني من رائحة الجوع البشري مخيف

أنقذني من مدن يصبح فيها الناس

مداخن للخوف وللزبل مخيف

من مدن ترقد في الماء الآسن كالجاموس

#لبنان_ينتفض
#صيدا_تنتفض
#يسقط_حكم_المصرف","وطني أنقذني من رائحة الجوع البشري مخيف

أنقذني من مدن يصبح فيها الناس

مداخن للخوف وللزبل مخيف

من مدن ترقد في الماء الآسن كالجاموس

#لبنان_ينتفض
#صيدا_تنتفض
#يسقط_حكم_المصرف",,0,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sat Nov 30 10:49:42 +0000 2019,{},,,1200728604671434753
#لبنان_ينتفض,,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sat Nov 30 11:30:37 +0000 2019,{},0,{},1200738903218634752
RT @Tesnimeeeeee: حين غاب الإعلام بكلّ تنوّعاته عن نقل صورة التحرّكات الصّادقة ضدّ سياسات مصرف لبنان .. كانت #الميادين حاضرة لتنقل الواقع ك…,RT @Tesnimeeeeee: حين غاب الإعلام بكلّ تنوّعاته عن نقل صورة التحرّكات الصّادقة ضدّ سياسات مصرف لبنان .. كانت #الميادين حاضرة لتنقل الواقع ك…,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 22:03:34 +0000 2019,{},0,,1200173411563118594
"RT @asmahanCh: هو سرق، بس عمّر...
شو عمّر؟
عمّر قلعة اقتصادية لعائلته تمكّن أصغرها من شراء نسخ أحد المجلات بما يقارب ٣ مليون دولار
عمّر هيك…","RT @asmahanCh: هو سرق، بس عمّر...
شو عمّر؟
عمّر قلعة اقتصادية لعائلته تمكّن أصغرها من شراء نسخ أحد المجلات بما يقارب ٣ مليون دولار
عمّر هيك…",0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 14:06:40 +0000 2019,{},0,,1200053397904404482
"RT @hsnbdeir: #شعب_السيّد

بالوقت يلي الإعلام وبعض الحاقدين عم يحاولوا يشوهوا صورة هالبيئة (هيهات طبعاً) أبناءها الناس الطيبين الصادقين شاع…","RT @hsnbdeir: #شعب_السيّد

بالوقت يلي الإعلام وبعض الحاقدين عم يحاولوا يشوهوا صورة هالبيئة (هيهات طبعاً) أبناءها الناس الطيبين الصادقين شاع…",0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 23:00:39 +0000 2019,{},0,,1200187778329387010
"RT @mayyish: Largest crowds as of yet in front of the Lebanese central bank right now: ""Our movement is of class-nature, glory to the worke…","RT @mayyish: Largest crowds as of yet in front of the Lebanese central bank right now: ""Our movement is of class-nature, glory to the worke…",0,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Thu Nov 28 17:30:18 +0000 2019,{},0,{},1200104644053258243
"RT @Roumani_K: مع دخول الحراك الثوري أسبوعه السابع،
الثوار وجدوا ضالتهم.
دعوة إلى إعتصام مفتوح أمام المصرف المركزي في الحمرا
نستعين بشعار أ…","RT @Roumani_K: مع دخول الحراك الثوري أسبوعه السابع،
الثوار وجدوا ضالتهم.
دعوة إلى إعتصام مفتوح أمام المصرف المركزي في الحمرا
نستعين بشعار أ…",0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 21:39:40 +0000 2019,{},0,,1200167399812739072
RT @Shinickname: لازم تنتقل بعض خيم رياض الصلح لقدام مصرف لبنان، من جهة فيها رسالة قوية ومن جهة تانية في وزارة الداخلية بتأمنلهم الحماية 😂…,RT @Shinickname: لازم تنتقل بعض خيم رياض الصلح لقدام مصرف لبنان، من جهة فيها رسالة قوية ومن جهة تانية في وزارة الداخلية بتأمنلهم الحماية 😂…,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 10:22:42 +0000 2019,{},0,,1199997033211453441
"RT @carlos2lb2: يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!

#يس…","RT @carlos2lb2: يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!
يسقط حكم المصرف!

#يس…",0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 13:05:52 +0000 2019,{},0,{},1200038094772285443
